,user_id,nationalpark_id,rating
0,1,1,3
1,1,2,
2,1,3,
3,1,4,
4,1,5,
5,1,6,
6,1,7,
7,1,8,
8,1,9,
9,1,10,
10,1,11,
11,1,12,
12,1,13,
13,1,14,
14,1,15,
15,1,16,
16,1,17,
17,1,18,
18,1,19,
19,1,20,
20,1,21,
21,1,22,
22,1,23,
23,1,24,
24,1,25,
25,1,26,
26,1,27,
27,1,28,
28,1,29,
29,1,30,
30,1,31,
31,1,32,
32,1,33,
33,1,34,
34,1,35,
35,1,36,
36,1,37,
37,1,38,
38,1,39,
39,1,40,
40,1,41,
41,1,42,
42,1,43,
43,1,44,
44,1,45,
45,1,46,
46,1,47,
47,1,48,
48,1,49,
49,1,50,
50,1,51,
51,1,52,
52,1,53,
53,1,54,
54,1,55,
55,1,56,
56,1,57,
57,1,58,
58,1,59,
59,1,60,
60,1,61,4
61,1,62,
62,2,1,
63,2,2,
64,2,3,4
65,2,4,
66,2,5,
67,2,6,
68,2,7,
69,2,8,5
70,2,9,
71,2,10,3.5
72,2,11,
73,2,12,
74,2,13,
75,2,14,4.5
76,2,15,
77,2,16,3.5
78,2,17,
79,2,18,
80,2,19,4.5
81,2,20,
82,2,21,
83,2,22,
84,2,23,
85,2,24,4.5
86,2,25,
87,2,26,
88,2,27,
89,2,28,
90,2,29,
91,2,30,4
92,2,31,5
93,2,32,
94,2,33,
95,2,34,
96,2,35,4
97,2,36,
98,2,37,
99,2,38,
100,2,39,
101,2,40,
102,2,41,
103,2,42,
104,2,43,4
105,2,44,
106,2,45,
107,2,46,
108,2,47,3.5
109,2,48,3.5
110,2,49,
111,2,50,
112,2,51,
113,2,52,
114,2,53,
115,2,54,
116,2,55,
117,2,56,
118,2,57,
119,2,58,
120,2,59,
121,2,60,5
122,2,61,5
123,2,62,5
124,3,1,
125,3,2,
126,3,3,
127,3,4,
128,3,5,
129,3,6,
130,3,7,
131,3,8,
132,3,9,
133,3,10,
134,3,11,
135,3,12,
136,3,13,
137,3,14,
138,3,15,
139,3,16,
140,3,17,
141,3,18,
142,3,19,
143,3,20,
144,3,21,
145,3,22,
146,3,23,
147,3,24,
148,3,25,5
149,3,26,
150,3,27,
151,3,28,4
152,3,29,
153,3,30,
154,3,31,
155,3,32,
156,3,33,4
157,3,34,
158,3,35,
159,3,36,
160,3,37,
161,3,38,
162,3,39,
163,3,40,
164,3,41,
165,3,42,4
166,3,43,
167,3,44,
168,3,45,
169,3,46,
170,3,47,
171,3,48,
172,3,49,
173,3,50,
174,3,51,
175,3,52,
176,3,53,
177,3,54,4.5
178,3,55,
179,3,56,
180,3,57,
181,3,58,
182,3,59,
183,3,60,4.5
184,3,61,
185,3,62,
186,4,1,
187,4,2,
188,4,3,
189,4,4,
190,4,5,
191,4,6,
192,4,7,
193,4,8,
194,4,9,
195,4,10,
196,4,11,
197,4,12,
198,4,13,
199,4,14,3.5
200,4,15,
201,4,16,
202,4,17,
203,4,18,
204,4,19,
205,4,20,
206,4,21,
207,4,22,
208,4,23,
209,4,24,4.5
210,4,25,
211,4,26,
212,4,27,
213,4,28,
214,4,29,
215,4,30,
216,4,31,3
217,4,32,3.5
218,4,33,
219,4,34,
220,4,35,
221,4,36,
222,4,37,
223,4,38,
224,4,39,
225,4,40,
226,4,41,2.5
227,4,42,
228,4,43,
229,4,44,
230,4,45,
231,4,46,
232,4,47,
233,4,48,4.5
234,4,49,4.5
235,4,50,
236,4,51,
237,4,52,
238,4,53,
239,4,54,
240,4,55,
241,4,56,
242,4,57,
243,4,58,
244,4,59,
245,4,60,3.5
246,4,61,4.5
247,4,62,
248,5,1,
249,5,2,
250,5,3,
251,5,4,
252,5,5,
253,5,6,
254,5,7,
255,5,8,
256,5,9,
257,5,10,
258,5,11,
259,5,12,
260,5,13,
261,5,14,
262,5,15,
263,5,16,
264,5,17,
265,5,18,
266,5,19,
267,5,20,
268,5,21,
269,5,22,
270,5,23,
271,5,24,
272,5,25,
273,5,26,
274,5,27,
275,5,28,
276,5,29,
277,5,30,
278,5,31,
279,5,32,
280,5,33,
281,5,34,
282,5,35,
283,5,36,
284,5,37,
285,5,38,
286,5,39,
287,5,40,
288,5,41,
289,5,42,
290,5,43,
291,5,44,
292,5,45,
293,5,46,
294,5,47,
295,5,48,
296,5,49,
297,5,50,
298,5,51,
299,5,52,
300,5,53,
301,5,54,
302,5,55,
303,5,56,
304,5,57,
305,5,58,
306,5,59,
307,5,60,
308,5,61,
309,5,62,
310,6,1,
311,6,2,
312,6,3,
313,6,4,
314,6,5,
315,6,6,
316,6,7,
317,6,8,
318,6,9,
319,6,10,
320,6,11,
321,6,12,
322,6,13,
323,6,14,
324,6,15,
325,6,16,
326,6,17,
327,6,18,
328,6,19,
329,6,20,
330,6,21,
331,6,22,
332,6,23,
333,6,24,4.5
334,6,25,5
335,6,26,
336,6,27,
337,6,28,
338,6,29,
339,6,30,
340,6,31,
341,6,32,
342,6,33,
343,6,34,
344,6,35,5
345,6,36,
346,6,37,
347,6,38,4.5
348,6,39,
349,6,40,
350,6,41,
351,6,42,
352,6,43,
353,6,44,
354,6,45,
355,6,46,
356,6,47,
357,6,48,
358,6,49,4.5
359,6,50,
360,6,51,
361,6,52,4.5
362,6,53,
363,6,54,
364,6,55,
365,6,56,
366,6,57,
367,6,58,
368,6,59,
369,6,60,
370,6,61,5
371,6,62,
372,7,1,
373,7,2,
374,7,3,1.5
375,7,4,
376,7,5,
377,7,6,
378,7,7,
379,7,8,1.5
380,7,9,1.5
381,7,10,2
382,7,11,
383,7,12,1
384,7,13,
385,7,14,
386,7,15,
387,7,16,1
388,7,17,
389,7,18,
390,7,19,
391,7,20,
392,7,21,
393,7,22,
394,7,23,
395,7,24,1.5
396,7,25,2
397,7,26,
398,7,27,
399,7,28,
400,7,29,
401,7,30,
402,7,31,
403,7,32,
404,7,33,
405,7,34,
406,7,35,1.5
407,7,36,
408,7,37,
409,7,38,
410,7,39,
411,7,40,
412,7,41,
413,7,42,
414,7,43,
415,7,44,
416,7,45,
417,7,46,
418,7,47,
419,7,48,
420,7,49,
421,7,50,2
422,7,51,1
423,7,52,
424,7,53,
425,7,54,
426,7,55,
427,7,56,
428,7,57,
429,7,58,
430,7,59,
431,7,60,
432,7,61,
433,7,62,2
434,8,1,
435,8,2,
436,8,3,
437,8,4,
438,8,5,
439,8,6,
440,8,7,
441,8,8,
442,8,9,
443,8,10,
444,8,11,1.5
445,8,12,
446,8,13,
447,8,14,
448,8,15,
449,8,16,1
450,8,17,
451,8,18,
452,8,19,
453,8,20,
454,8,21,
455,8,22,
456,8,23,
457,8,24,
458,8,25,
459,8,26,
460,8,27,
461,8,28,
462,8,29,
463,8,30,
464,8,31,
465,8,32,1.5
466,8,33,
467,8,34,
468,8,35,1.5
469,8,36,
470,8,37,
471,8,38,
472,8,39,
473,8,40,
474,8,41,
475,8,42,
476,8,43,
477,8,44,
478,8,45,
479,8,46,
480,8,47,
481,8,48,
482,8,49,1.5
483,8,50,
484,8,51,
485,8,52,1.5
486,8,53,
487,8,54,
488,8,55,
489,8,56,
490,8,57,
491,8,58,
492,8,59,
493,8,60,
494,8,61,1.5
495,8,62,
496,9,1,
497,9,2,
498,9,3,
499,9,4,
500,9,5,
501,9,6,
502,9,7,
503,9,8,
504,9,9,
505,9,10,
506,9,11,
507,9,12,
508,9,13,
509,9,14,
510,9,15,
511,9,16,
512,9,17,
513,9,18,
514,9,19,
515,9,20,
516,9,21,
517,9,22,
518,9,23,
519,9,24,
520,9,25,
521,9,26,
522,9,27,
523,9,28,
524,9,29,
525,9,30,
526,9,31,
527,9,32,4.5
528,9,33,
529,9,34,
530,9,35,
531,9,36,
532,9,37,
533,9,38,
534,9,39,
535,9,40,
536,9,41,
537,9,42,
538,9,43,
539,9,44,
540,9,45,
541,9,46,
542,9,47,
543,9,48,
544,9,49,4.5
545,9,50,
546,9,51,
547,9,52,
548,9,53,
549,9,54,
550,9,55,
551,9,56,
552,9,57,
553,9,58,
554,9,59,
555,9,60,
556,9,61,
557,9,62,
558,10,1,5
559,10,2,5
560,10,3,
561,10,4,4.5
562,10,5,
563,10,6,5
564,10,7,
565,10,8,5
566,10,9,
567,10,10,
568,10,11,5
569,10,12,4.5
570,10,13,
571,10,14,5
572,10,15,
573,10,16,4.5
574,10,17,
575,10,18,5
576,10,19,5
577,10,20,
578,10,21,4.5
579,10,22,
580,10,23,5
581,10,24,4.5
582,10,25,4.5
583,10,26,
584,10,27,
585,10,28,5
586,10,29,3.5
587,10,30,4.5
588,10,31,5
589,10,32,
590,10,33,4
591,10,34,
592,10,35,5
593,10,36,
594,10,37,
595,10,38,5
596,10,39,
597,10,40,
598,10,41,5
599,10,42,4.5
600,10,43,
601,10,44,5
602,10,45,5
603,10,46,5
604,10,47,5
605,10,48,5
606,10,49,5
607,10,50,5
608,10,51,5
609,10,52,5
610,10,53,
611,10,54,
612,10,55,5
613,10,56,
614,10,57,5
615,10,58,
616,10,59,
617,10,60,5
618,10,61,5
619,10,62,5
