user_id,nationalpark_id,rating
1,10,2
1,25,4
1,20,4
1,4,2
1,52,2
1,18,2
1,51,2
1,53,3
1,30,1
1,13,2
2,37,1
2,36,3
2,6,3
2,19,1
2,39,5
2,58,4
2,22,4
2,34,1
2,21,1
2,17,1
3,9,3
3,47,5
3,2,5
3,8,2
3,11,4
3,1,3
3,31,2
3,56,3
3,50,5
3,55,1
4,24,2
4,57,2
4,4,5
4,25,5
4,16,2
4,59,2
4,31,4
4,17,1
4,15,4
4,48,2
5,13,1
5,18,5
5,35,1
5,17,3
5,38,3
5,15,2
5,27,1
5,36,1
5,19,1
5,45,2
6,27,1
6,22,3
6,48,3
6,42,3
6,58,2
6,19,5
6,51,4
6,23,1
6,12,3
6,3,1
7,50,3
7,52,3
7,11,1
7,28,3
7,23,2
7,57,1
7,59,4
7,24,3
7,1,2
7,45,2
8,44,1
8,37,1
8,18,1
8,50,1
8,5,1
8,13,5
8,16,1
8,40,3
8,24,4
8,31,2
9,1,4
9,59,5
9,52,4
9,56,3
9,57,2
9,27,4
9,12,1
9,15,3
9,43,3
9,11,2
10,55,4
10,41,3
10,3,4
10,52,3
10,2,2
10,8,1
10,47,5
10,57,5
10,49,1
10,56,5
11,6,5
11,29,5
11,45,4
11,24,2
11,32,2
11,37,4
11,16,3
11,20,2
11,47,5
11,57,2
12,27,1
12,18,1
12,45,2
12,13,1
12,47,4
12,17,1
12,50,1
12,58,3
12,16,2
12,44,2
13,51,5
13,5,2
13,31,4
13,52,4
13,33,3
13,38,5
13,34,4
13,1,2
13,21,1
13,35,1
14,18,1
14,16,2
14,3,4
14,21,1
14,2,3
14,57,2
14,43,4
14,48,1
14,15,5
14,13,1
15,19,5
15,44,5
15,54,1
15,9,1
15,47,3
15,23,5
15,2,3
15,6,2
15,56,5
15,31,1
16,31,5
16,7,2
16,8,2
16,44,5
16,1,2
16,40,3
16,57,4
16,24,5
16,50,4
16,58,2
17,11,2
17,33,5
17,48,5
17,16,1
17,35,3
17,22,4
17,23,3
17,49,1
17,15,1
17,36,3
18,23,1
18,21,4
18,56,4
18,12,4
18,33,2
18,52,2
18,26,5
18,8,4
18,28,2
18,42,2
19,4,3
19,35,2
19,25,2
19,38,1
19,58,2
19,37,1
19,17,4
19,22,4
19,39,1
19,48,2
20,22,3
20,41,5
20,13,4
20,9,5
20,2,3
20,50,3
20,11,5
20,57,4
20,46,3
20,12,2
21,34,2
21,28,2
21,32,3
21,54,1
21,58,3
21,15,3
21,2,4
21,53,4
21,33,5
21,40,5
22,50,5
22,16,5
22,33,4
22,2,4
22,42,3
22,12,2
22,8,5
22,19,1
22,24,4
22,11,2
23,35,3
23,13,2
23,17,4
23,58,3
23,24,4
23,32,3
23,14,2
23,50,1
23,31,3
23,22,1
24,27,3
24,48,2
24,38,4
24,37,3
24,54,1
24,35,2
24,59,3
24,39,4
24,23,5
24,26,4
25,55,3
25,39,2
25,1,5
25,7,3
25,9,2
25,21,2
25,40,3
25,53,4
25,20,2
25,38,1
26,49,4
26,50,3
26,58,5
26,22,1
26,32,1
26,54,1
26,28,5
26,29,4
26,48,3
26,47,2
27,32,2
27,5,2
27,58,2
27,47,3
27,31,5
27,29,3
27,26,1
27,34,5
27,17,2
27,18,1
28,49,2
28,25,4
28,12,3
28,56,5
28,55,4
28,14,2
28,51,2
28,21,5
28,24,4
28,27,3
29,49,2
29,8,1
29,21,5
29,55,3
29,2,3
29,47,4
29,32,3
29,16,2
29,5,3
29,33,1
30,36,2
30,3,2
30,26,2
30,52,2
30,1,4
30,22,1
30,40,1
30,21,5
30,19,3
30,28,1
31,9,4
31,57,4
31,2,3
31,20,1
31,37,2
31,6,3
31,15,4
31,4,5
31,12,1
31,31,4
32,9,1
32,11,5
32,15,4
32,28,5
32,59,3
32,1,2
32,22,3
32,31,5
32,24,5
32,41,1
33,21,4
33,54,1
33,1,1
33,35,5
33,16,5
33,36,1
33,20,4
33,56,5
33,30,3
33,9,1
34,16,4
34,2,4
34,52,5
34,49,4
34,29,1
34,18,5
34,21,2
34,22,1
34,35,5
34,36,4
35,57,3
35,59,1
35,34,1
35,24,5
35,7,1
35,42,1
35,1,3
35,8,1
35,36,2
35,2,3
36,28,2
36,21,2
36,30,4
36,40,3
36,11,3
36,1,1
36,59,4
36,51,4
36,57,5
36,47,2
37,7,3
37,56,1
37,47,4
37,12,3
37,53,4
37,15,1
37,54,3
37,24,3
37,59,4
37,42,3
38,1,2
38,20,5
38,3,2
38,14,5
38,31,1
38,10,3
38,41,1
38,32,4
38,48,3
38,21,4
39,2,2
39,5,5
39,26,4
39,1,4
39,19,4
39,55,3
39,59,4
39,21,5
39,24,1
39,28,4
40,54,5
40,22,3
40,1,3
40,38,4
40,58,2
40,45,3
40,23,3
40,2,4
40,41,5
40,49,3
41,1,5
41,15,2
41,33,5
41,25,4
41,55,3
41,8,3
41,45,2
41,36,5
41,44,5
41,7,3
42,29,2
42,32,5
42,42,1
42,15,1
42,43,1
42,47,4
42,31,1
42,34,2
42,54,5
42,52,4
43,4,3
43,41,4
43,40,1
43,16,2
43,47,2
43,38,1
43,17,5
43,52,3
43,2,1
43,14,4
44,29,1
44,58,1
44,40,2
44,52,1
44,56,1
44,36,1
44,23,4
44,22,3
44,12,4
44,19,2
45,34,3
45,32,4
45,7,4
45,17,2
45,29,3
45,41,2
45,51,5
45,26,2
45,50,2
45,21,1
46,6,5
46,32,5
46,16,2
46,49,1
46,28,2
46,44,3
46,18,4
46,5,1
46,41,5
46,55,3
47,35,3
47,20,2
47,43,4
47,25,2
47,46,2
47,39,1
47,56,5
47,17,2
47,32,5
47,41,5
48,16,2
48,38,4
48,57,2
48,31,5
48,55,1
48,28,3
48,25,4
48,35,5
48,34,4
48,5,4
49,38,1
49,24,5
49,6,5
49,8,1
49,51,2
49,29,5
49,42,5
49,36,3
49,30,3
49,50,5
50,34,2
50,46,5
50,27,2
50,40,4
50,22,1
50,41,4
50,14,1
50,12,5
50,23,4
50,55,2
